CustomerKey|SourceSystemKey|CustomerName|City|State|CustPricingClass|CustTradeClass|RestorationRefineryCust
23970|1|Customer 23970|Lake Monroe|FL|05C1 GENERAL CONTRACTOR SE|GENERAL CONTRACTOR|N
23971|1|Customer 23971|Longwood|FL|05C1 GENERAL CONTRACTOR SE|GENERAL CONTRACTOR|N
23972|1|Customer 23972|Riverside|RI|88A1 ALL OTHERS NE|OTHER|N
30525|1|Customer 30525|Wyoming|MI|88B1 ALL OTHERS MW|OTHER|N
30528|1|Customer 30528|Stony Brook|NY|88E5 ALL OTHERS HM|GENERAL CONTRACTOR|N
30529|1|Customer 30529|St Cloud|FL|88C1 ALL OTHERS SE|FIRE PROTECTION|N
30530|1|Customer 30530|Grand Rapids|MI|88B1 ALL OTHERS MW|INDUSTRIAL/MANUFACTURING|N
30545|1|Customer 30545|Chicago|IL|02B1 ELECTRICAL MW|ELECTRICAL|N
30547|1|Customer 30547|Ridgefield|NJ|88E1 ALL OTHERS HM|CREDIT CARD CUSTOMERS NO TRADE|N
30549|1|Customer 30549|Chappaqua|NY|05E4 GENERAL CONTRACTOR HM|GENERAL CONTRACTOR|N
30569|1|Customer 30569|West Palm Beach|FL|88C1 ALL OTHERS SE|PARTITION & DRYWALL|N
30572|1|Customer 30572|Sparta|NJ|88E1 ALL OTHERS HM|CREDIT CARD CUSTOMERS NO TRADE|N
30592|1|Customer 30592|Woburn|MA|88E5 ALL OTHERS HM|CREDIT CARD CUSTOMERS NO TRADE|N
30593|1|Customer 30593|Middletown|CT|88A1 ALL OTHERS NE|GENERAL CONTRACTOR|N
30594|1|Customer 30594|Abingdon|MD|88A4 ALL OTHERS NE|FLOORING/TILE CUSTOMERS|N
30595|1|Customer 30595|Albany|NY|88E1 ALL OTHERS HM|CASH SALE/CREDIT CARD|N
30601|1|Customer 30601|Evansville|IN|02B4 ELECTRICAL MW|GENERAL CONTRACTOR|N
30618|1|Customer 30618|Rock Hall|MD|88A1 ALL OTHERS NE|GOVERNMENT/MUNICIPAL/UTILITY|N
30620|1|Customer 30620|Jacksonville|FL|88C2 ALL OTHERS SE|MECHANICAL|N
30621|1|Customer 30621|Willington|CT|05E1 GENERAL CONTRACTOR HM|GENERAL CONTRACTOR|N
30639|1|Customer 30639|Shermansdale|PA|88A1 ALL OTHERS NE|CARPENTRY/WOODWORKING/DRYWALL|N
30642|1|Customer 30642|Mccook|IL|88B1 ALL OTHERS MW|OTHER|N
30646|1|Customer 30646|Longwood|FL|88C2 ALL OTHERS SE|ROOFING CUSTOMERS|N
30647|1|Customer 30647|Branford|CT|22A5 MECHANICAL NE|PLUMBING|N
30666|1|Customer 30666|Minneapolis|MN|02A5 ELECTRICAL NE|ELECTRICAL|N
30667|1|Customer 30667|Horsham|PA|88A1 ALL OTHERS NE|CREDIT CARD CUSTOMERS NO TRADE|N
30669|1|Customer 30669|York|PA|88A3 ALL OTHERS NE|GENERAL CONTRACTOR|N
6748|1|Customer 6748|Jacksonville|FL|02C1 ELECTRICAL SE|ELECTRICAL|N
6762|1|Customer 6762|Camp Hill|PA|88A1 ALL OTHERS NE|TELECOM/DATA|N
6763|1|Customer 6763|York Springs|PA|05A3 GENERAL CONTRACTOR NE|GENERAL CONTRACTOR|N
6767|1|Customer 6767|Middleburg|PA|88A1 ALL OTHERS NE|FOUNDATIONS/SITE WORK|N
6768|1|Customer 6768|New Cumberland|PA|40A1 CONCRETE NE|CONCRETE|N
6770|1|Customer 6770|Gettysburg|PA|02A1 ELECTRICAL NE|ELECTRICAL|N
6771|1|Customer 6771|New Cumberland|PA|88A1 ALL OTHERS NE|OTHER|N
6773|1|Customer 6773|Rockland|MA|22E2 MECHANICAL HM|PLUMBING|N
6786|1|Customer 6786|Walpole|MA|40E5 CONCRETE HM|CONCRETE|N
6787|1|Customer 6787|Hudson|NH|88E3 ALL OTHERS HM|PARTITION & DRYWALL|N
5002|1|Customer 5002|Troy|NY|88A2 ALL OTHERS NE|HIGHWAY/BRIDGE CUSTOMERS|N
5004|1|Customer 5004|Schenectady|NY|88A4 ALL OTHERS NE|INDUSTRIAL/MANUFACTURING|N
5005|1|Customer 5005|Estero|FL|88C1 ALL OTHERS SE|CARPENTRY/WOODWORKING/DRYWALL|N
5019|1|Customer 5019|Reading|PA|40A1 CONCRETE NE|CONCRETE|N
5020|1|Customer 5020|Reading|PA|05A1 GENERAL CONTRACTOR NE|GENERAL CONTRACTOR|N
5024|1|Customer 5024|Wyomissing|PA|88A5 ALL OTHERS NE|POWER UTILITY|N
5026|1|Customer 5026|Quarryville|PA|88A2 ALL OTHERS NE|PARTITION & DRYWALL|N
5029|1|Customer 5029|Sarasota|FL|88C1 ALL OTHERS SE|CASH SALE/CREDIT CARD|N
5048|1|Customer 5048|Marlborough|MA|05A5 GENERAL CONTRACTOR NE|GENERAL CONTRACTOR|N
5050|1|Customer 5050|Orange|CT|88E1 ALL OTHERS HM|CASH SALE/CREDIT CARD|N
5052|1|Customer 5052|Glenmont|NY|88A2 ALL OTHERS NE|OTHER|N
5070|1|Customer 5070|Chicopee|MA|88E1 ALL OTHERS HM|INDUSTRIAL/MANUFACTURING|N
5074|1|Customer 5074|Maplewood|MO|88B1 ALL OTHERS MW|GOVERNMENT/MUNICIPAL/UTILITY|N
5076|1|Customer 5076|Youngstown|OH|88B1 ALL OTHERS MW|WHOLESALE ACCOUNTS|N
5094|1|Customer 5094|Chicago|IL|88B1 ALL OTHERS MW|CARPENTRY/WOODWORKING/DRYWALL|N
5095|1|Customer 5095|Chicago|IL|05B5 GENERAL CONTRACTOR MW|GENERAL CONTRACTOR|N
5096|1|Customer 5096|Chicago|IL|05B4 GENERAL CONTRACTOR MW|GENERAL CONTRACTOR|N
5097|1|Customer 5097|Chicago|IL|05B4 GENERAL CONTRACTOR MW|GENERAL CONTRACTOR|N
5099|1|Customer 5099|Chicago|IL|05B5 GENERAL CONTRACTOR MW|GENERAL CONTRACTOR|N
5100|1|Customer 5100|Chicago|IL|05B2 GENERAL CONTRACTOR MW|GENERAL CONTRACTOR|N
5101|1|Customer 5101|Chicago|IL|05B5 GENERAL CONTRACTOR MW|GENERAL CONTRACTOR|N
5102|1|Customer 5102|Chicago|IL|88B1 ALL OTHERS MW|CARPENTRY/WOODWORKING/DRYWALL|N
5118|1|Customer 5118|Wallingford|CT|02E5 ELECTRICAL HM|ELECTRICAL|N
5122|1|Customer 5122|Southbury|CT|88E1 ALL OTHERS HM|CREDIT CARD CUSTOMERS NO TRADE|N
5169|1|Customer 5169|Jacksonville|FL|88C1 ALL OTHERS SE|OTHER|N
5171|1|Customer 5171|Venice|FL|88C1 ALL OTHERS SE|CREDIT CARD CUSTOMERS NO TRADE|N
5194|1|Customer 5194|Stratford|CT|88E2 ALL OTHERS HM|GROUNDS MAINT./LANDSCAPING|N
5196|1|Customer 5196|Boston|MA|88E4 ALL OTHERS HM|TELECOM/DATA|N
5197|1|Customer 5197|Albany|NY|22A5 MECHANICAL NE|MECHANICAL|N
5212|1|Customer 5212|Providence|RI|05A5 GENERAL CONTRACTOR NE|GENERAL CONTRACTOR|N
5214|1|Customer 5214|Braintree|MA|22E5 MECHANICAL HM|FIRE PROTECTION|N
5215|1|Customer 5215|New Haven|CT|88E1 ALL OTHERS HM|OTHER|N
5216|1|Customer 5216|Stoneham|MA|05E1 GENERAL CONTRACTOR HM|GENERAL CONTRACTOR|N
5382|1|Customer 5382|West Haven|CT|22E1 MECHANICAL HM|PLUMBING|N
27355|1|Customer 27355|Stanton|MI|88B1 ALL OTHERS MW|OTHER|N
27357|1|Customer 27357|Coconut Creek|FL|88C1 ALL OTHERS SE|OTHER|N
27358|1|Customer 27358|Boca Raton|FL|05C4 GENERAL CONTRACTOR SE|EXPORTERS|N
19197|1|Customer 19197|Jacksonville|FL|88C2 ALL OTHERS SE|FIRE PROTECTION|N
19199|1|Customer 19199|Jacksonville|FL|88C1 ALL OTHERS SE|TELECOM/DATA|N
19201|1|Customer 19201|Ponte Vedra Bch|FL|88C1 ALL OTHERS SE|BUILDING MAINTENANCE|N
19218|1|Customer 19218|White Plains|NY|02E2 ELECTRICAL HM|ELECTRICAL|N
19219|1|Customer 19219|White Plains|NY|88E4 ALL OTHERS HM|MASONRY/RESTORATION|N
19224|1|Customer 19224|Long Isl City|NY|02E2 ELECTRICAL HM|ELECTRICAL|N
19225|1|Customer 19225|Merill|MI|88B2 ALL OTHERS MW|INDUSTRIAL/MANUFACTURING|N
19240|1|Customer 19240|Hicksville|NY|02E4 ELECTRICAL HM|ELECTRICAL|N
28689|1|Customer 28689|Cincinnati|OH|05B1 GENERAL CONTRACTOR MW|GENERAL CONTRACTOR|N
28708|1|Customer 28708|White Plains|NY|88E4 ALL OTHERS HM|CREDIT CARD CUSTOMERS NO TRADE|N
28729|1|Customer 28729|Saginaw|MI|88B1 ALL OTHERS MW|CREDIT CARD CUSTOMERS NO TRADE|N
28734|1|Customer 28734|Willow Grove|PA|22A2 MECHANICAL NE|MECHANICAL|N
28738|1|Customer 28738|Grand Ledge|MI|88B1 ALL OTHERS MW|PLUMBING|N
28759|1|Customer 28759|Miami Beach|FL|88C2 ALL OTHERS SE|ELEVATORS|N
28777|1|Customer 28777|Auburn Hills|MI|88B1 ALL OTHERS MW|GOVERNMENT/MUNICIPAL/UTILITY|N
28779|1|Customer 28779|Davison|MI|88B1 ALL OTHERS MW|OTHER|N
28780|1|Customer 28780|Cleveland|OH|88B2 ALL OTHERS MW|PLUMBING|N
28781|1|Customer 28781|Jericho|NY|05E4 GENERAL CONTRACTOR HM|GENERAL CONTRACTOR|N
28782|1|Customer 28782|New Windsor|NY|05A3 GENERAL CONTRACTOR NE|GENERAL CONTRACTOR|N
28784|1|Customer 28784|Altamonte Spgs|FL|88C1 ALL OTHERS SE|CARPENTRY/WOODWORKING/DRYWALL|N
28785|1|Customer 28785|Dillsburg|PA|88E1 ALL OTHERS HM|CARPENTRY/WOODWORKING/DRYWALL|N
28799|1|Customer 28799|Syracuse|NY|88A1 ALL OTHERS NE|OTHER|N
28800|1|Customer 28800|Oakbrook Ter|IL|05B1 GENERAL CONTRACTOR MW|GENERAL CONTRACTOR|N
28806|1|Customer 28806|Hallandale|FL|88C1 ALL OTHERS SE|CREDIT CARD CUSTOMERS NO TRADE|N
28823|1|Customer 28823|Elwood|IL|88B5 ALL OTHERS MW|OTHER|N
28825|1|Customer 28825|Jamesville|NY|88A1 ALL OTHERS NE|TELECOM/DATA|N
28827|1|Customer 28827|Casselberry|FL|88C2 ALL OTHERS SE|FIRE PROTECTION|N
28832|1|Customer 28832|Saint Cloud|FL|88C1 ALL OTHERS SE|STEEL ERECTION / WELDING|N
28847|1|Customer 28847|Cleveland|OH|88B1 ALL OTHERS MW|CREDIT CARD CUSTOMERS NO TRADE|N
28849|1|Customer 28849|Clearwater|FL|88C3 ALL OTHERS SE|WHOLESALE ACCOUNTS|N
28850|1|Customer 28850|New York|NY|88E1 ALL OTHERS HM|CREDIT CARD CUSTOMERS NO TRADE|N
28851|1|Customer 28851|West Hartford|CT|88E1 ALL OTHERS HM|CREDIT CARD CUSTOMERS NO TRADE|N
28877|1|Customer 28877|New York|NY|05E5 GENERAL CONTRACTOR HM|GENERAL CONTRACTOR|N
28878|1|Customer 28878|Ypsilanti|MI|88B1 ALL OTHERS MW|ROOFING CUSTOMERS|N
28880|1|Customer 28880|Boonton|NJ|05E1 GENERAL CONTRACTOR HM|GENERAL CONTRACTOR|N
28901|1|Customer 28901|Montgomery|IL|05B1 GENERAL CONTRACTOR MW|GENERAL CONTRACTOR|N
1493|1|Customer 1493|Shelton|CT|40E1 CONCRETE HM|CONCRETE|N
1510|1|Customer 1510|Naugatuck|CT|05E5 GENERAL CONTRACTOR HM|GENERAL CONTRACTOR|N
1512|1|Customer 1512|New Haven|CT|88E1 ALL OTHERS HM|CASH SALE/CREDIT CARD|N
1513|1|Customer 1513|Souderton|PA|88A1 ALL OTHERS NE|PLUMBING|N
1516|1|Customer 1516|Brooklyn|NY|05E5 GENERAL CONTRACTOR HM|GENERAL CONTRACTOR|N
1517|1|Customer 1517|Farmingdale|NY|88E2 ALL OTHERS HM|OTHER|N
1531|1|Customer 1531|Middletown|CT|88E5 ALL OTHERS HM|BUILDING MAINTENANCE|N
1532|1|Customer 1532|New York|NY|05E5 GENERAL CONTRACTOR HM|BUILDING MAINTENANCE|N
1533|1|Customer 1533|Milford|CT|88E1 ALL OTHERS HM|HVAC & SHEET METAL|N
1537|1|Customer 1537|Hartford|CT|05E1 GENERAL CONTRACTOR HM|GENERAL CONTRACTOR|N
1538|1|Customer 1538|New Milford|CT|88E2 ALL OTHERS HM|GROUNDS MAINT./LANDSCAPING|N
1540|1|Customer 1540|Concord|MA|05E5 GENERAL CONTRACTOR HM|GENERAL CONTRACTOR|N
1555|1|Customer 1555|Jacksonville|FL|88C1 ALL OTHERS SE|MARINE/BOAT BUILDERS|N
10801|1|Customer 10801|Syracuse|NY|40A1 CONCRETE NE|CONCRETE|N
10803|1|Customer 10803|E Syracuse|NY|88A4 ALL OTHERS NE|PARTITION & DRYWALL|N
10805|1|Customer 10805|Oswego|NY|02A1 ELECTRICAL NE|ELECTRICAL|N
10819|1|Customer 10819|Yonkers|NY|40E1 CONCRETE HM|RESTORATION|Y
10825|1|Customer 10825|North Haledon|NJ|05E3 GENERAL CONTRACTOR HM|GENERAL CONTRACTOR|N
10828|1|Customer 10828|Woodridge|NJ|88E1 ALL OTHERS HM|GOVERNMENT/MUNICIPAL/UTILITY|N
10850|1|Customer 10850|East Boston|MA|02E1 ELECTRICAL HM|ELECTRICAL|N
10851|1|Customer 10851|Waltham|MA|02E5 ELECTRICAL HM|ELECTRICAL|N
10852|1|Customer 10852|Boston|MA|88E3 ALL OTHERS HM|GOVERNMENT/MUNICIPAL/UTILITY|N
10853|1|Customer 10853|Hyde Park|MA|88E2 ALL OTHERS HM|TELECOM/DATA|N
10868|1|Customer 10868|Canton|MA|88E3 ALL OTHERS HM|ELEVATORS|N
10871|1|Customer 10871|Palmetto|FL|88C4 ALL OTHERS SE|ROOFING CUSTOMERS|N
10894|1|Customer 10894|Orange|CT|88E1 ALL OTHERS HM|CREDIT CARD CUSTOMERS NO TRADE|N
10895|1|Customer 10895|Salem|NH|88E4 ALL OTHERS HM|PARTITION & DRYWALL|N
10897|1|Customer 10897|South Nashville|TN|05E5 GENERAL CONTRACTOR HM|GENERAL CONTRACTOR|N
152650|10|Customer 152650|..|NULL|Not Listed|Not Listed|N
11508|1|Customer 11508|Hackensack|NJ|05A5 GENERAL CONTRACTOR NE|GENERAL CONTRACTOR|N
11510|1|Customer 11510|Mount Vernon|NY|88E5 ALL OTHERS HM|OTHER|N
11515|1|Customer 11515|Teaneck|NJ|88E1 ALL OTHERS HM|CASH SALE/CREDIT CARD|N
11517|1|Customer 11517|New York|NY|05E4 GENERAL CONTRACTOR HM|GENERAL CONTRACTOR|N
11534|1|Customer 11534|Sayreville|NJ|05E1 GENERAL CONTRACTOR HM|GENERAL CONTRACTOR|N
11536|1|Customer 11536|West Des Moines|IA|05E5 GENERAL CONTRACTOR HM|GENERAL CONTRACTOR|N
11537|1|Customer 11537|Mount Joy|PA|05A2 GENERAL CONTRACTOR NE|GENERAL CONTRACTOR|N
11540|1|Customer 11540|Harleysville|PA|22A1 MECHANICAL NE|MECHANICAL|N
11555|1|Customer 11555|Saugatuck|MI|88B1 ALL OTHERS MW|CARPENTRY/WOODWORKING/DRYWALL|N
11557|1|Customer 11557|Shelby Township|MI|88B1 ALL OTHERS MW|CARPENTRY/WOODWORKING/DRYWALL|N
11561|1|Customer 11561|Sheridan|MI|88B1 ALL OTHERS MW|CARPENTRY/WOODWORKING/DRYWALL|N
11562|1|Customer 11562|Sidney|MI|88B1 ALL OTHERS MW|CARPENTRY/WOODWORKING/DRYWALL|N
11565|1|Customer 11565|Fort Myers|FL|88C1 ALL OTHERS SE|MARINE/BOAT BUILDERS|N
11566|1|Customer 11566|Fort Myers|FL|88C1 ALL OTHERS SE|PLUMBING|N
11579|1|Customer 11579|Bedford Heights|OH|22B1 MECHANICAL MW|MECHANICAL|N
11581|1|Customer 11581|Essex|MD|88A1 ALL OTHERS NE|INDUSTRIAL/MANUFACTURING|N
11583|1|Customer 11583|Baltimore|MD|88A1 ALL OTHERS NE|CASH SALE/CREDIT CARD|N
11585|1|Customer 11585|East Syracuse|NY|88A1 ALL OTHERS NE|WHOLESALE ACCOUNTS|N
11794|1|Customer 11794|Fort Myers|FL|88C1 ALL OTHERS SE|ROOFING CUSTOMERS|N
11795|1|Customer 11795|Fort Myers|FL|88C1 ALL OTHERS SE|WHOLESALE ACCOUNTS|N
11797|1|Customer 11797|Stuart|FL|88C1 ALL OTHERS SE|MARINE/BOAT BUILDERS|N
11798|1|Customer 11798|Fort Myers|FL|88C1 ALL OTHERS SE|FLOORING/TILE CUSTOMERS|N
11820|1|Customer 11820|Mechanicsburg|PA|05A2 GENERAL CONTRACTOR NE|GENERAL CONTRACTOR|N
11821|1|Customer 11821|Mechanicsburg|PA|88A2 ALL OTHERS NE|HIGHWAY/BRIDGE CUSTOMERS|N
11822|1|Customer 11822|Mechanicsburg|PA|88A1 ALL OTHERS NE|CASH SALE/CREDIT CARD|N
11824|1|Customer 11824|Mechanicsburg|PA|88A1 ALL OTHERS NE|CASH SALE/CREDIT CARD|N
11825|1|Customer 11825|Carlisle|PA|88A1 ALL OTHERS NE|CONCRETE|N
